Respondent_ID,Age,Gender,Education_Level,Employment_Status,Marital_Status,Household_Income,Region,Owns_Home,Has_Children,Internet_Usage_Hours,Political_Affiliation
35,33,Female,High School,Student,Single,43826,East,Yes,No,2,Conservative
36,32,Female,High School,Employed,Divorced,122486,Central,No,No,1,Liberal
37,64,Male,PhD,Employed,Divorced,44729,North,No,No,11,Conservative
38,68,Female,Master's,Employed,Widowed,71696,West,No,No,7,Conservative
39,61,Female,High School,Employed,Single,23868,West,Yes,Yes,2,Other
40,69,Female,Master's,Unemployed,Divorced,61274,North,Yes,Yes,7,Independent
41,20,Female,Bachelor's,Employed,Widowed,58718,South,No,Yes,1,Conservative
42,54,Female,PhD,Unemployed,Single,52353,West,No,No,3,Other
43,68,Female,Bachelor's,Student,Married,61682,Central,Yes,No,8,Conservative
44,24,Male,Bachelor's,Unemployed,Married,50653,West,Yes,Yes,0,Liberal
45,38,Female,High School,Retired,Single,146511,West,No,No,1,Other
46,26,Female,Bachelor's,Employed,Single,34141,Central,Yes,Yes,1,Independent
47,56,Female,PhD,Retired,Married,31537,East,Yes,Yes,8,Independent
48,35,Female,Bachelor's,Unemployed,Married,50401,South,Yes,Yes,9,Liberal
49,21,Male,High School,Employed,Single,47387,Central,Yes,No,4,Liberal
50,42,Male,High School,Retired,Widowed,101690,Central,Yes,No,10,Conservative
51,31,Female,Master's,Employed,Divorced,120613,North,Yes,Yes,3,Other
52,67,Female,Bachelor's,Unemployed,Divorced,26630,South,Yes,No,9,Other
53,26,Female,Bachelor's,Retired,Single,63461,East,Yes,Yes,9,Other
54,43,Male,PhD,Unemployed,Divorced,100314,Central,Yes,No,3,Other
55,19,Male,High School,Retired,Married,64293,East,Yes,Yes,6,Conservative
56,37,Female,Bachelor's,Student,Married,43070,Central,Yes,No,2,Other
57,45,Female,PhD,Student,Divorced,33416,Central,Yes,No,8,Other
58,64,Female,Bachelor's,Student,Single,136711,North,Yes,No,4,Independent
59,24,Male,High School,Student,Married,135037,West,Yes,No,10,Independent
60,61,Female,Bachelor's,Student,Widowed,110935,South,Yes,Yes,8,Conservative
61,25,Male,Master's,Unemployed,Widowed,28629,North,No,No,0,Liberal
62,64,Female,High School,Student,Married,83444,East,Yes,Yes,9,Independent
63,52,Male,PhD,Unemployed,Married,28360,Central,No,Yes,11,Liberal
64,31,Male,Master's,Student,Divorced,32011,Central,Yes,No,7,Conservative
65,34,Female,High School,Employed,Single,60721,South,No,Yes,1,Independent
66,53,Female,Master's,Student,Divorced,146294,North,Yes,Yes,7,Independent
67,67,Male,Bachelor's,Employed,Single,56069,North,No,No,3,Conservative
68,57,Female,Bachelor's,Unemployed,Widowed,73270,East,Yes,No,1,Other
69,21,Male,Master's,Student,Widowed,31227,North,No,No,1,Conservative
70,19,Male,PhD,Retired,Single,59587,North,Yes,No,5,Liberal
71,23,Male,High School,Unemployed,Divorced,81720,West,No,No,2,Liberal
72,59,Male,Bachelor's,Student,Married,64550,South,Yes,No,10,Other
73,21,Female,Bachelor's,Unemployed,Single,88305,North,No,No,9,Conservative
74,46,Male,Bachelor's,Retired,Divorced,96028,East,No,Yes,2,Conservative
75,35,Female,Bachelor's,Student,Widowed,73651,Central,No,No,8,Other
76,43,Female,High School,Retired,Married,71332,North,No,Yes,4,Conservative
77,61,Male,Bachelor's,Student,Widowed,88881,North,Yes,No,6,Independent
78,51,Female,Bachelor's,Employed,Single,88201,Central,Yes,No,11,Conservative
79,27,Male,High School,Unemployed,Widowed,44807,West,Yes,Yes,4,Independent
80,53,Female,Master's,Retired,Widowed,63552,South,Yes,No,1,Conservative
81,31,Male,Master's,Unemployed,Single,97902,West,Yes,No,10,Independent
82,48,Male,Bachelor's,Retired,Married,143938,East,Yes,No,10,Liberal
83,65,Male,High School,Unemployed,Single,137230,North,No,Yes,7,Other
84,32,Male,Bachelor's,Unemployed,Divorced,94861,West,Yes,No,8,Liberal
85,25,Male,High School,Unemployed,Single,90976,South,Yes,Yes,10,Independent
86,31,Female,High School,Employed,Single,113758,East,Yes,No,1,Other
87,40,Female,Master's,Student,Married,77300,West,No,Yes,1,Liberal
88,57,Female,High School,Employed,Divorced,46951,North,Yes,Yes,3,Liberal
89,38,Female,High School,Unemployed,Widowed,125414,South,Yes,Yes,7,Independent
90,33,Male,High School,Retired,Widowed,40264,North,No,Yes,4,Conservative
91,62,Male,High School,Unemployed,Widowed,39121,North,Yes,No,4,Conservative
92,35,Male,High School,Student,Widowed,104351,East,No,Yes,6,Independent
93,64,Male,PhD,Employed,Married,70539,South,No,No,11,Liberal
94,41,Female,High School,Student,Divorced,129799,Central,Yes,No,3,Conservative
95,43,Female,High School,Retired,Married,50311,North,No,No,11,Conservative
96,42,Male,High School,Student,Single,62397,South,No,Yes,8,Liberal
97,62,Male,PhD,Employed,Divorced,39749,North,Yes,No,3,Independent
98,58,Female,Bachelor's,Retired,Divorced,49218,West,Yes,Yes,7,Independent
99,46,Female,Bachelor's,Student,Widowed,144609,West,No,Yes,2,Conservative
100,32,Male,Master's,Employed,Widowed,101069,South,No,No,5,Independent
101,62,Female,Bachelor's,Employed,Widowed,71591,East,Yes,Yes,0,Liberal
102,18,Female,Bachelor's,Unemployed,Widowed,64133,Central,No,No,6,Independent
103,42,Male,High School,Student,Single,64867,West,Yes,Yes,10,Other
104,24,Male,Bachelor's,Retired,Widowed,21316,East,No,Yes,6,Independent
105,26,Female,Bachelor's,Unemployed,Married,57972,Central,No,Yes,1,Independent
106,41,Female,Bachelor's,Student,Divorced,106924,West,Yes,No,4,Independent
107,18,Female,High School,Student,Single,99048,Central,No,Yes,3,Other
108,61,Male,Bachelor's,Retired,Single,86220,North,No,Yes,9,Liberal
109,25,Male,High School,Unemployed,Divorced,112700,South,Yes,No,8,Independent
110,41,Female,High School,Unemployed,Divorced,124744,West,No,No,11,Conservative
111,28,Female,Bachelor's,Retired,Divorced,149079,West,Yes,No,1,Independent
112,68,Male,PhD,Unemployed,Single,97271,North,No,Yes,2,Other
113,34,Female,Bachelor's,Employed,Married,121391,West,No,Yes,0,Other
114,25,Female,Bachelor's,Retired,Married,62635,West,Yes,No,9,Conservative
115,52,Female,High School,Student,Divorced,71265,West,No,No,4,Other
116,52,Female,High School,Retired,Single,70109,West,Yes,No,2,Other
117,50,Female,High School,Employed,Widowed,124082,West,No,No,11,Other
118,22,Male,Bachelor's,Retired,Single,68797,East,Yes,Yes,3,Liberal
119,59,Female,High School,Student,Divorced,28079,West,Yes,Yes,3,Other
120,56,Male,High School,Student,Single,80887,North,No,No,5,Independent
121,58,Female,Master's,Retired,Single,42412,West,No,Yes,9,Conservative
122,45,Male,High School,Retired,Single,140388,Central,Yes,No,6,Independent
123,24,Female,Bachelor's,Employed,Widowed,55862,Central,No,Yes,6,Independent
124,26,Male,Bachelor's,Employed,Divorced,147677,North,No,No,10,Conservative
125,25,Male,Bachelor's,Student,Divorced,104727,East,No,Yes,7,Liberal
126,29,Male,Bachelor's,Unemployed,Divorced,34821,North,Yes,Yes,2,Liberal
127,51,Male,Bachelor's,Unemployed,Married,93118,East,Yes,No,4,Other
128,50,Female,High School,Unemployed,Married,94548,South,Yes,No,11,Liberal
129,65,Female,Master's,Unemployed,Divorced,53655,Central,No,Yes,9,Liberal
130,40,Female,Master's,Student,Single,64688,Central,Yes,Yes,5,Other
131,41,Male,High School,Unemployed,Single,124319,Central,No,No,11,Liberal
132,54,Male,High School,Unemployed,Divorced,74576,East,No,No,5,Liberal
133,52,Male,Master's,Retired,Widowed,149200,North,Yes,Yes,11,Other
134,61,Male,Bachelor's,Unemployed,Widowed,100066,East,Yes,No,7,Independent
135,57,Female,Bachelor's,Retired,Single,105913,Central,No,Yes,4,Independent
136,39,Male,Bachelor's,Student,Single,72236,Central,No,No,4,Conservative
137,44,Male,High School,Retired,Married,135563,Central,Yes,No,0,Liberal
138,52,Male,Bachelor's,Employed,Widowed,65221,Central,No,Yes,0,Other
139,18,Male,Bachelor's,Retired,Single,107189,South,Yes,No,5,Other
140,52,Female,High School,Unemployed,Single,125812,Central,No,Yes,9,Liberal
141,54,Female,Bachelor's,Retired,Divorced,105916,East,No,Yes,9,Liberal
142,64,Male,Master's,Retired,Married,86092,Central,Yes,No,4,Other
143,31,Male,Bachelor's,Student,Widowed,74445,West,Yes,Yes,10,Other
144,20,Male,High School,Student,Widowed,112326,South,No,No,9,Other
145,18,Male,Bachelor's,Unemployed,Married,28900,Central,Yes,Yes,5,Conservative
146,22,Male,Master's,Employed,Single,53485,West,No,No,8,Independent
147,43,Female,Master's,Employed,Widowed,121969,East,Yes,Yes,7,Other
148,31,Female,Bachelor's,Retired,Widowed,33891,South,No,Yes,6,Independent
149,56,Female,High School,Employed,Widowed,128640,Central,No,No,6,Liberal
150,44,Male,Master's,Student,Divorced,35014,East,No,Yes,5,Independent
151,26,Male,Bachelor's,Unemployed,Married,92083,West,Yes,No,5,Independent
152,32,Female,High School,Unemployed,Widowed,57964,South,Yes,No,0,Independent
153,32,Female,Bachelor's,Student,Married,71171,Central,No,Yes,11,Liberal
154,43,Female,Bachelor's,Unemployed,Single,115468,East,Yes,No,6,Independent
155,59,Male,Bachelor's,Retired,Married,64739,South,No,Yes,4,Independent
156,30,Female,High School,Unemployed,Divorced,143170,West,No,Yes,6,Conservative
157,68,Male,Bachelor's,Employed,Divorced,136871,Central,Yes,Yes,5,Liberal
158,49,Female,PhD,Unemployed,Married,105799,South,Yes,No,7,Independent
159,56,Female,Master's,Unemployed,Divorced,104856,West,Yes,No,2,Liberal
160,66,Female,PhD,Student,Widowed,133520,West,Yes,No,7,Other
161,69,Male,PhD,Student,Divorced,63374,East,No,No,6,Independent
162,49,Female,High School,Employed,Single,59459,West,No,No,0,Liberal
163,21,Male,Bachelor's,Student,Married,27045,West,Yes,No,2,Independent
164,47,Male,Bachelor's,Employed,Married,63255,North,No,Yes,9,Independent
165,54,Male,Master's,Retired,Single,71965,West,Yes,Yes,3,Other
166,40,Female,High School,Employed,Single,21237,Central,Yes,Yes,8,Conservative
167,56,Male,PhD,Unemployed,Single,128613,South,Yes,No,11,Liberal
168,62,Male,Bachelor's,Employed,Single,139529,Central,No,No,5,Independent
169,32,Female,Master's,Retired,Widowed,72195,Central,No,No,6,Other
170,60,Male,High School,Unemployed,Divorced,124776,East,No,Yes,4,Other
171,46,Female,High School,Employed,Divorced,137775,North,Yes,Yes,2,Conservative
172,53,Male,Master's,Student,Widowed,56326,North,Yes,No,4,Conservative
173,30,Male,High School,Student,Single,25293,Central,No,Yes,11,Other
174,49,Female,Master's,Student,Married,45274,South,Yes,No,6,Other
175,24,Male,High School,Employed,Married,39237,North,Yes,Yes,8,Liberal
176,68,Male,Bachelor's,Employed,Married,113920,North,No,No,11,Liberal
177,39,Female,Bachelor's,Retired,Single,116529,Central,Yes,No,8,Other
178,45,Female,Bachelor's,Unemployed,Widowed,98347,North,Yes,No,11,Other
179,19,Female,Bachelor's,Unemployed,Widowed,38229,East,Yes,Yes,7,Conservative
180,59,Male,Bachelor's,Unemployed,Widowed,124666,Central,No,No,4,Liberal
181,62,Male,High School,Unemployed,Divorced,98847,North,No,Yes,6,Other
182,23,Female,High School,Employed,Divorced,146894,North,Yes,No,3,Liberal
183,45,Female,Bachelor's,Employed,Divorced,108576,North,Yes,No,9,Liberal
184,45,Female,Bachelor's,Retired,Divorced,76718,Central,Yes,Yes,4,Other
185,61,Female,Master's,Unemployed,Married,88718,South,Yes,No,11,Other
186,61,Female,Bachelor's,Employed,Married,132602,West,No,No,3,Independent
187,37,Female,Bachelor's,Employed,Widowed,69615,North,Yes,No,2,Liberal
188,47,Male,Bachelor's,Employed,Divorced,138548,West,Yes,Yes,10,Liberal
189,28,Female,High School,Employed,Widowed,91296,West,No,Yes,0,Conservative
190,45,Male,Bachelor's,Unemployed,Single,92796,North,Yes,No,4,Conservative
191,42,Male,PhD,Unemployed,Divorced,118754,North,No,No,11,Conservative
192,56,Female,Master's,Employed,Divorced,132011,West,Yes,Yes,1,Liberal
193,50,Female,Bachelor's,Student,Widowed,21915,South,Yes,Yes,5,Other
194,18,Male,Bachelor's,Retired,Widowed,94651,West,Yes,Yes,4,Other
195,44,Male,Master's,Unemployed,Single,72774,South,Yes,Yes,10,Other
196,69,Male,Bachelor's,Unemployed,Widowed,27076,East,No,Yes,1,Liberal
197,30,Female,High School,Student,Divorced,100350,South,No,Yes,7,Other
198,58,Female,High School,Unemployed,Married,53083,Central,Yes,No,4,Conservative
199,20,Male,Bachelor's,Student,Single,73918,North,No,Yes,1,Other
200,56,Male,PhD,Student,Single,24793,East,No,No,0,Other
201,23,Female,Bachelor's,Employed,Divorced,147968,West,Yes,No,1,Conservative
202,25,Male,High School,Unemployed,Married,70528,South,Yes,No,0,Independent
203,44,Female,High School,Retired,Widowed,137503,East,Yes,No,9,Independent
204,26,Other,Master's,Student,Widowed,86798,Central,No,No,9,Independent
205,54,Male,Master's,Retired,Married,29319,South,Yes,No,2,Liberal
206,50,Female,Bachelor's,Employed,Married,33194,West,Yes,No,2,Liberal
207,68,Male,Bachelor's,Unemployed,Divorced,39309,West,Yes,Yes,11,Conservative
208,59,Male,High School,Employed,Widowed,78396,South,No,Yes,9,Independent
209,61,Female,Master's,Employed,Divorced,114296,Central,No,No,0,Liberal
210,41,Male,Master's,Retired,Widowed,46998,North,Yes,No,6,Other
211,32,Other,High School,Retired,Widowed,23468,North,Yes,No,9,Independent
212,49,Female,Master's,Student,Married,132178,West,No,Yes,6,Independent
213,49,Male,High School,Unemployed,Divorced,32651,Central,Yes,Yes,8,Liberal
214,41,Male,High School,Employed,Married,40405,West,Yes,Yes,4,Independent
215,58,Male,High School,Student,Divorced,34482,North,No,Yes,3,Conservative
216,69,Male,High School,Student,Widowed,24409,West,No,No,4,Conservative
217,66,Male,Bachelor's,Employed,Single,86083,South,Yes,No,7,Liberal
218,66,Male,Bachelor's,Employed,Single,123195,South,Yes,No,7,Independent
219,69,Male,Bachelor's,Student,Divorced,105443,Central,No,Yes,11,Conservative
220,29,Female,Bachelor's,Employed,Divorced,43426,North,No,No,3,Independent
221,56,Female,High School,Employed,Married,128025,Central,No,No,11,Conservative
222,19,Female,High School,Retired,Widowed,74757,Central,No,No,7,Conservative
223,20,Male,Bachelor's,Unemployed,Single,34436,North,Yes,No,3,Independent
224,66,Male,Bachelor's,Student,Married,36490,East,No,No,3,Liberal
225,54,Female,High School,Employed,Divorced,143736,East,Yes,Yes,10,Liberal
226,66,Female,Master's,Student,Widowed,72136,West,No,No,7,Liberal
227,34,Male,Master's,Unemployed,Married,48962,East,No,No,1,Independent
228,66,Female,Master's,Student,Married,123772,South,Yes,Yes,3,Independent
229,19,Female,Bachelor's,Student,Divorced,49288,Central,No,Yes,0,Independent
230,19,Female,High School,Student,Widowed,42236,West,Yes,Yes,0,Liberal
231,45,Male,Bachelor's,Retired,Single,34923,Central,Yes,Yes,10,Independent
232,40,Female,High School,Unemployed,Married,86786,North,Yes,No,7,Liberal
233,54,Female,Bachelor's,Unemployed,Divorced,75891,East,No,Yes,3,Conservative
234,49,Female,High School,Student,Married,33264,North,Yes,Yes,5,Liberal
235,50,Female,Master's,Student,Divorced,140820,West,Yes,Yes,4,Liberal
236,18,Female,High School,Unemployed,Divorced,87147,South,No,Yes,9,Other
237,36,Female,PhD,Employed,Divorced,27928,East,Yes,No,5,Other
238,19,Male,Master's,Retired,Widowed,54558,North,No,No,3,Liberal
239,61,Female,Bachelor's,Unemployed,Single,76369,East,Yes,Yes,3,Other
240,43,Female,Master's,Student,Widowed,86403,Central,Yes,No,6,Independent
241,49,Female,Bachelor's,Employed,Single,117225,South,Yes,Yes,0,Other
242,23,Male,Master's,Employed,Divorced,137457,East,No,No,8,Other
243,49,Male,Bachelor's,Employed,Single,65213,South,Yes,No,9,Other
244,21,Female,Master's,Retired,Widowed,118631,Central,Yes,No,2,Liberal
245,28,Female,Bachelor's,Retired,Married,23816,Central,No,No,3,Conservative
246,34,Female,PhD,Unemployed,Widowed,118162,North,No,No,8,Conservative
247,55,Female,Bachelor's,Unemployed,Widowed,55916,West,Yes,No,4,Conservative
248,41,Female,Bachelor's,Unemployed,Widowed,67838,North,No,Yes,11,Conservative
249,22,Female,Master's,Unemployed,Widowed,141464,South,No,No,3,Conservative
250,69,Female,Master's,Student,Widowed,148453,North,Yes,No,11,Conservative
251,51,Female,Bachelor's,Retired,Single,31573,East,Yes,No,5,Liberal
252,23,Female,High School,Employed,Single,63334,North,Yes,No,0,Independent
253,39,Male,Bachelor's,Student,Married,104475,West,Yes,No,9,Independent
254,28,Male,PhD,Unemployed,Widowed,85364,West,No,No,0,Conservative
255,65,Female,Master's,Unemployed,Widowed,33157,South,Yes,Yes,4,Other
256,33,Male,Master's,Student,Married,29322,Central,Yes,Yes,4,Other
257,50,Male,High School,Employed,Married,139024,West,Yes,Yes,10,Liberal
258,26,Male,Bachelor's,Retired,Divorced,22482,South,Yes,Yes,8,Conservative
259,23,Male,Bachelor's,Retired,Married,55867,West,Yes,Yes,0,Conservative
260,33,Male,Master's,Employed,Married,145631,West,No,Yes,2,Other
261,46,Male,High School,Retired,Married,129816,Central,Yes,Yes,2,Conservative
262,20,Female,Master's,Unemployed,Divorced,99211,East,Yes,No,3,Conservative
263,37,Female,Bachelor's,Unemployed,Single,115956,South,Yes,Yes,11,Other
264,53,Male,High School,Unemployed,Divorced,128052,West,No,Yes,6,Independent
265,36,Male,Bachelor's,Unemployed,Single,97271,West,Yes,No,6,Independent
266,43,Female,High School,Employed,Married,140474,North,No,No,9,Liberal
267,20,Male,Bachelor's,Retired,Divorced,99386,East,Yes,Yes,4,Other
268,36,Female,High School,Retired,Divorced,26732,Central,No,Yes,8,Liberal
269,37,Female,High School,Student,Single,60753,South,No,Yes,6,Conservative
270,49,Female,Master's,Employed,Divorced,131004,West,Yes,Yes,1,Other
271,24,Male,High School,Retired,Divorced,124358,South,No,Yes,11,Independent
272,69,Female,High School,Retired,Widowed,135256,Central,Yes,No,2,Conservative
273,58,Male,Bachelor's,Student,Single,54422,East,Yes,No,10,Independent
274,50,Female,Bachelor's,Unemployed,Divorced,118267,North,Yes,No,6,Independent
275,57,Female,Master's,Retired,Divorced,96964,East,No,Yes,4,Liberal
276,56,Male,Bachelor's,Unemployed,Married,76284,North,Yes,Yes,6,Other
277,35,Male,Master's,Student,Widowed,148575,South,No,Yes,8,Other
278,57,Male,Bachelor's,Retired,Widowed,31311,East,Yes,Yes,8,Other
279,18,Female,High School,Unemployed,Married,89269,East,Yes,No,2,Liberal
280,28,Male,High School,Employed,Married,149507,East,Yes,No,7,Independent
281,45,Female,Bachelor's,Unemployed,Married,137917,Central,No,Yes,5,Liberal
282,42,Male,Bachelor's,Unemployed,Married,59579,South,Yes,No,3,Other
283,67,Female,Master's,Unemployed,Widowed,93878,North,Yes,No,3,Conservative
284,40,Female,Bachelor's,Unemployed,Divorced,96000,East,Yes,Yes,3,Other
285,48,Female,Bachelor's,Employed,Divorced,148259,South,Yes,Yes,6,Other
286,47,Female,High School,Student,Married,68514,Central,Yes,Yes,5,Independent
287,59,Male,High School,Unemployed,Single,65311,Central,Yes,No,1,Other
288,52,Male,Bachelor's,Unemployed,Married,30300,South,Yes,Yes,4,Other
289,24,Female,Bachelor's,Retired,Divorced,85375,North,Yes,Yes,4,Independent
290,33,Male,Bachelor's,Retired,Single,54563,South,Yes,No,5,Other
291,43,Male,High School,Employed,Married,68960,South,No,Yes,6,Other
292,65,Male,Bachelor's,Employed,Single,141227,West,Yes,Yes,11,Independent
293,69,Male,Master's,Employed,Married,99244,Central,Yes,No,10,Conservative
294,66,Male,High School,Retired,Widowed,148161,North,No,No,7,Independent
295,19,Female,Bachelor's,Unemployed,Divorced,145307,West,Yes,Yes,11,Other
296,18,Male,PhD,Retired,Married,48090,South,No,Yes,9,Liberal
297,65,Female,Bachelor's,Student,Single,134687,Central,Yes,No,7,Conservative
298,29,Male,Bachelor's,Employed,Divorced,126844,West,No,No,10,Independent
299,22,Female,High School,Employed,Married,36328,West,No,No,4,Conservative
300,54,Male,Bachelor's,Employed,Married,46654,North,No,Yes,1,Conservative
301,49,Female,High School,Student,Married,26214,South,No,No,9,Liberal
302,26,Female,PhD,Unemployed,Married,77740,North,Yes,Yes,7,Liberal
303,58,Male,Master's,Unemployed,Widowed,84949,West,Yes,No,5,Liberal
304,52,Female,Master's,Unemployed,Divorced,58913,West,No,Yes,2,Other
305,36,Other,Master's,Employed,Widowed,47552,North,Yes,Yes,3,Independent
306,65,Female,Bachelor's,Unemployed,Divorced,55377,West,No,Yes,11,Other
307,33,Female,Bachelor's,Retired,Married,45734,East,Yes,Yes,0,Independent
308,20,Male,Master's,Employed,Divorced,110257,Central,No,Yes,2,Other
309,37,Female,PhD,Student,Single,38610,South,Yes,Yes,3,Other
310,41,Male,Bachelor's,Student,Divorced,77607,Central,Yes,Yes,1,Liberal
311,50,Male,PhD,Unemployed,Single,99158,South,No,Yes,11,Other
312,41,Other,Bachelor's,Employed,Single,48875,West,Yes,No,5,Liberal
313,69,Male,Bachelor's,Retired,Widowed,75082,North,Yes,Yes,7,Independent
314,28,Female,Bachelor's,Retired,Divorced,43226,North,Yes,No,11,Liberal
315,66,Female,High School,Employed,Married,47677,West,No,No,5,Conservative
316,25,Female,High School,Unemployed,Divorced,30298,South,No,Yes,9,Conservative
317,53,Other,High School,Student,Widowed,55848,West,No,Yes,2,Other
318,55,Male,Bachelor's,Student,Single,119291,South,Yes,No,8,Conservative
319,57,Male,Bachelor's,Retired,Single,144227,West,Yes,Yes,3,Independent
320,37,Male,Bachelor's,Retired,Widowed,83654,West,Yes,Yes,5,Other
321,52,Male,PhD,Retired,Widowed,37744,West,Yes,Yes,3,Liberal
322,65,Male,Bachelor's,Student,Divorced,43434,North,Yes,Yes,3,Other
323,42,Male,Bachelor's,Retired,Single,125850,South,No,Yes,10,Other
324,52,Female,High School,Student,Widowed,68001,West,Yes,No,1,Conservative
325,42,Female,High School,Student,Divorced,145718,Central,Yes,No,9,Other
326,46,Male,Master's,Unemployed,Divorced,87262,Central,Yes,No,1,Independent
327,35,Female,Bachelor's,Unemployed,Married,79633,North,Yes,Yes,1,Other
328,63,Male,Master's,Unemployed,Single,68917,East,Yes,No,1,Liberal
329,35,Male,High School,Retired,Divorced,99804,North,Yes,No,7,Liberal
330,19,Female,Bachelor's,Student,Widowed,66745,East,Yes,No,9,Conservative
331,52,Female,High School,Retired,Single,20907,North,No,No,3,Other
332,33,Female,High School,Student,Widowed,111295,Central,Yes,Yes,3,Liberal
333,58,Male,High School,Unemployed,Widowed,137512,West,No,No,9,Other
334,53,Female,High School,Unemployed,Divorced,78602,South,Yes,Yes,9,Other
335,50,Female,Bachelor's,Retired,Divorced,33764,West,No,No,10,Liberal
336,21,Female,High School,Student,Married,44409,Central,Yes,Yes,2,Other
337,50,Female,PhD,Retired,Widowed,28390,South,Yes,No,4,Conservative
338,31,Female,Bachelor's,Employed,Divorced,50172,East,Yes,Yes,3,Conservative
339,38,Female,High School,Retired,Married,143936,East,Yes,Yes,6,Liberal
340,65,Female,High School,Unemployed,Single,120759,Central,No,No,9,Independent
341,37,Other,Bachelor's,Student,Married,123512,South,No,No,6,Independent
342,25,Female,High School,Student,Married,60542,West,Yes,No,5,Other
343,24,Male,Master's,Retired,Widowed,67324,Central,Yes,Yes,6,Conservative
344,20,Female,PhD,Unemployed,Single,68196,East,Yes,Yes,11,Liberal
345,34,Male,High School,Employed,Widowed,88901,Central,No,Yes,6,Conservative
346,50,Male,Bachelor's,Retired,Widowed,45836,West,No,Yes,7,Independent
347,65,Female,High School,Student,Married,114090,North,Yes,No,10,Independent
348,29,Female,Bachelor's,Unemployed,Married,41663,North,Yes,Yes,0,Other
349,68,Female,Bachelor's,Student,Divorced,25951,West,Yes,Yes,2,Liberal
350,39,Male,High School,Student,Married,35175,South,Yes,No,11,Other
351,39,Female,High School,Student,Divorced,31027,Central,Yes,Yes,2,Conservative
352,63,Male,Bachelor's,Student,Widowed,127809,West,No,No,4,Conservative
353,47,Other,Bachelor's,Employed,Married,95630,North,No,Yes,9,Independent
354,55,Other,High School,Unemployed,Single,108617,East,Yes,Yes,6,Other
355,55,Female,Bachelor's,Retired,Single,32167,West,No,No,9,Conservative
356,62,Female,Bachelor's,Unemployed,Widowed,94305,West,Yes,Yes,5,Conservative
357,68,Female,Master's,Unemployed,Widowed,43060,West,Yes,No,3,Conservative
358,25,Female,High School,Unemployed,Married,147310,North,No,No,5,Liberal
359,44,Male,Master's,Retired,Divorced,86556,North,Yes,No,6,Independent
360,44,Male,Bachelor's,Unemployed,Married,97381,West,Yes,No,3,Other
361,51,Female,High School,Retired,Divorced,122148,West,Yes,No,10,Conservative
362,38,Female,Bachelor's,Retired,Married,121877,South,No,Yes,7,Liberal
363,47,Male,Bachelor's,Employed,Single,30485,East,Yes,Yes,4,Conservative
364,50,Female,PhD,Student,Single,123746,Central,No,No,2,Conservative
365,45,Male,High School,Retired,Divorced,93450,Central,Yes,No,1,Independent
